dock.id,file.name.ligand.pdbqt,file.name.flex.pdbqt,winner,receptor,ligand.name,ligand.name.index,ligand.type,rotation,binding.mode,buried,measure.type,measure.value
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,Binding.Energy.Vina,-8.8
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,Binding.Energy.Difference,-0.004999999999999
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,distance.landmark,20.1396179953841
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,Binding.Energy.Score.Only,-8.725
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,Ligand.Internal.Energy,0
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,Binding.Energy.Vina,-8.668
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,Binding.Energy.Difference,-0.0570000000000004
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,distance.landmark,14.7298823145333
6,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,1,amine.N,Binding.Energy.Score.Only,-11.608
6,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,1,amine.N,Ligand.Internal.Energy,0
6,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,1,amine.N,Binding.Energy.Vina,-11.19
6,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainB_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainB_emixustat,2,emixustat,2,1,amine.N,Binding.Energy.Difference,-0.418000000000001
